Collection,Name,Key,BPM,Energy
unlEASHed,"HD - Asha Bhosle, Mohammad Rafi, Asha Parekh, Shammi Kapoor",B,135.83,4
unlEASHed,Rishi Kapoor - Dimple - Bobby -  Narendra Chanchal,A#m,89.22,4
unlEASHed,Candyman (Edit),Em,86.5,7
unlEASHed,HeadBand (feat. 2 Chainz),Cm,97.5,6
unlEASHed,LMFAO,Fm,129.89,7
unlEASHed,Nachan Farrate VIDEO Song ft. Sonakshi Sinha | All Is Well | Meet Bros | Kanika Kapoor,F#m,102.04,7
unlEASHed,Since U Been Gone (VIDEO),G,131,7
unlEASHed,Super Bass,B,127,7
unlEASHed,Sweet Caroline Lyrics,B,126.31,4
unlEASHed,"Waka Flocka, No Hands.",C#m,131.5,8
unlEASHed,Wiggle,Am,131.03,7
unlEASHed,Psycho  ft. Ty Dolla $ign,D#,140.01,6
unlEASHed,Drake-The Motto ,F#m,98.54,5
unlEASHed,Dance Music (Instrumental) | Chandni | Sridevi | Rishi Kapoor,G,83.05,6
unlEASHed,"LAK HILAADE Full Audio Song | Manj Musik,Amy Jackson,Raftaar | Latest Hindi Song | T-Series",F#m,108,7
unlEASHed,"Kygo, Selena Gomez ��� It Aint Me  �_�",C,100,6
unlEASHed,Thnks fr th Mmrs,A#m,154.23,7
unlEASHed,2012 PSY with Oppan Lyrics & MP3 Download,Bm,132,7
unlEASHed,"Yo Yo Honey Singh: DIL CHORI (Video) Simar Kaur, Ishers | Hans Raj Hans | Sonu Ke Titu Ki Sweety",Cm,100,6
unlEASHed,"Preeti Sagar, Lakshmi, Julie, Romantic Song",G,127.09,3
unlEASHed,Light It Up (feat. Nyla & Fuse ODG) (Remix),Am,108.02,8
unlEASHed,Tarzan My Tarzan Aaja Me Sekha Tuje Pyar - Alisha Chinoy,D#,91.31,4
unlEASHed,Juicy J Ft. Lil  Wayne. With Lyrics On Screen!,F#m,131,8
unlEASHed,Dark Horse,A#m,132,7
unlEASHed,Candy (Punjabi MC Remix),D#m,100.01,7
unlEASHed,Right Thurr,Dm,92.1,6
unlEASHed,In My Arms,Cm,128.01,8
unlEASHed,Alive [Official Video Clip] - HQ Lyrics,Dm,81.19,7
unlEASHed,"Appy Budday Full Song |  Kismet Love Paisa Dilli (KLPD) | Vivek Oberoi, Mallika Sherawat",C#m,101.04,7
unlEASHed,GotInstrumentals.com,Dm,135,5
unlEASHed,"Laung Laachi Title Song  Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Movie 2018",Em/Am,98.04,6
unlEASHed,Bad Blood,Fm,0,4
unlEASHed,I Dont Wanna Live Forever Lyrics (Fifty Shades Darker),Am,118,6
unlEASHed,Show Out - Lyrics,C#m,130.09,8
unlEASHed,Call Me Maybe,G,120,8
unlEASHed,Sorry Not Sorry,Bm,144,8
unlEASHed,Crazy Music Video,Cm,111.36,4
unlEASHed,Chammak Challo,Cm,134,7
unlEASHed,Show me the money (INSTRUMENTAL GOOD VERSION)_iHAk2iwDyU0_youtube,Dm,110.41,5
unlEASHed,"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan",F,120,6
unlEASHed,Jab We Met (Original DVD quality),F#,129.87,3
unlEASHed,Outside [Audio] ft. Ellie Goulding,Dm,128.01,7
unlEASHed,J-kwon [OFFICAL LYRICS VIDEO],F/Fm,93,7
unlEASHed,Rack City (Explicit),C#m,99,6
unlEASHed,"Lil Pump Gucci Gang Remix Feat. Bad Bunny, Ozuna, J Balvin, 21 Savage, Gucci Mane & French Montana",Dm,120,5
unlEASHed,Without You,D#,136,6
unlEASHed,"Kashmir Main Tu Kanyakumari Chennai Express Full Video Song | Shahrukh Khan, Deepika Padukone",D#m,111.46,6
unlEASHed,"Chalte Chalte  Mere Ye Geet Yaad Rakna,",Gm,132.73,4
unlEASHed,"Main Koi Aisa Geet Gaoon Full Video Song | Yes Boss | Shahrukh Khan, Juhi Chawla | Abhijeet & Alka",G#,126.72,4
unlEASHed,FUCK YOU,Am,127.5,6
unlEASHed,Swag se Yeah,Cm,110.99,7
unlEASHed,Tory Lanez Say It (Audio),Bm,107,6
unlEASHed,Main Tera Boyfriend Full Video | Raabta | Arijit Singh | Neha Kakkar | Sushant Singh Kriti Sanon,Bm,104,7
unlEASHed,I Try,Am,152.85,4
unlEASHed,Zooted,A#m,110.01,6
unlEASHed,Kala Chashma | Baar Baar Dekho | Sidharth M Katrina K | Prem & Hardeep ft Badshah Neha K Indeep,Dm,105.96,7
unlEASHed,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) (Remix)",B,122,6
unlEASHed,"Video Song | Race | Katrina Kaif & Saif Ali Khan | Monali Thakur, Earl Edgar",Bm,96,6
unlEASHed,Truffle Butter,Gm,105.1,6
